,uid,sub_uid,building,pl_base_iou,pl_seg_gt_iou,pl_seg_infer_iou,height,range_noise,lidar_beams,found_hole,hole_remaining,t_laplacian,t_bilateral,t_mesh,t_fastga_total,t_fastga_integrate,t_fastga_peak,t_polylidar_planepoly,t_polylidar_filter,iou_diff
0,0,0,Building2_Example3,0.8998707371268607,0.8998707371268607,0.8964148531032772,5,0.01,64,True,0.0,0.3356999999999388,0.7107000000000641,0.08549999999996061,3.2735999999999876,0.42069999999994057,2.852900000000047,0.4888999999999033,1.8532999999999467,0.0
1,0,1,Building2_Example3,0.9037987683645604,0.9041977416311527,0.9041977416311527,5,0.01,64,True,0.0,0.3218999999999861,0.3654000000000712,0.06170000000005338,3.0607000000000273,0.4125999999999852,2.648100000000042,0.35689999999999333,1.3782999999999435,-0.00039897326659232846
2,0,2,Building2_Example3,0.9049732796809951,0.9049732796809951,0.9049732796809951,5,0.01,64,True,0.0,0.32650000000000734,0.3772999999999138,0.06040000000007151,2.766200000000052,0.4074000000000577,2.3587999999999942,0.35519999999999996,1.3548999999999367,0.0
3,0,3,Building2_Example3,0.9020452116327149,0.9045808335503471,0.9045808335503471,5,0.01,64,True,0.0,0.3086999999999396,0.3692000000000695,0.0588000000000255,2.6829000000000436,0.40640000000002896,2.2765000000000146,0.32529999999997283,1.3558999999999655,-0.002535621917632236
4,0,4,Building2_Example3,0.9000984171381251,0.9017729994020133,0.9017729994020133,5,0.01,64,True,0.0,0.3106000000000497,0.3663000000000416,0.057299999999926854,3.056900000000029,0.41170000000001483,2.645200000000014,0.35320000000005347,1.3396999999999437,-0.0016745822638881691
5,0,5,Building2_Example3,0.899404115301766,0.9030726663036048,0.9030726663036048,5,0.01,64,True,0.0,0.32920000000002947,0.3507000000000371,0.06419999999995873,2.713100000000024,0.4115000000000091,2.3016000000000147,0.3258999999999901,1.3174999999999715,-0.0036685510018388268
6,0,6,Building2_Example3,0.9030884750107869,0.905548954929506,0.905548954929506,5,0.01,64,True,0.0,0.3066999999999931,0.3651000000000071,0.059099999999978614,2.757899999999869,0.40279999999992544,2.3550999999999433,0.3437999999998942,1.3151999999999608,-0.002460479918719116
7,0,7,Building2_Example3,0.9071454146590952,0.9086347359762941,0.9086347359762941,5,0.01,64,True,0.0,0.3109999999999502,0.34489999999998133,0.06720000000015602,2.9993999999999854,0.4005999999998622,2.5988000000001232,0.3570999999999991,1.318699999999895,-0.0014893213171989217
8,0,8,Building2_Example3,0.905855115608523,0.9070875422190605,0.9070875422190605,5,0.01,64,True,0.0,0.35090000000015387,0.44640000000018,0.0750999999998836,3.169900000000281,0.41090000000010285,2.759000000000178,0.38949999999982055,1.470700000000047,-0.0012324266105374626
9,0,9,Building2_Example3,0.9031302101666943,0.9037331615862746,0.9037331615862746,5,0.01,64,True,0.0,0.37609999999999033,0.8601999999999776,0.14429999999987508,3.7824000000001856,0.47210000000008634,3.3103000000000993,0.39199999999994795,1.4305999999999486,-0.0006029514195803332
10,0,10,Building2_Example3,0.902483089323953,0.9025759327554388,0.9025759327554388,5,0.01,64,True,0.0,0.3421999999999592,0.6596999999999298,0.11429999999990059,3.4076999999999025,0.40440000000008247,3.00329999999982,0.36849999999999383,1.3764999999998917,-9.284343148574514e-05
11,0,11,Building2_Example3,0.9045133679573043,0.9059651374658921,0.9059651374658921,5,0.01,64,True,0.0,0.4899000000000431,0.4013999999998852,0.07390000000007113,3.0023000000001243,0.4598000000000102,2.542500000000114,0.35519999999999996,1.377399999999973,-0.0014517695085878302
12,0,12,Building2_Example3,0.9069755114313476,0.908046807192993,0.908046807192993,5,0.01,64,True,0.0,0.2949999999999342,0.34760000000000346,0.12170000000000236,2.7687999999999047,0.4041999999999657,2.364599999999939,0.3399000000001706,1.3511000000001605,-0.001071295761645441
13,0,13,Building2_Example3,0.9041514340207801,0.9061975394809278,0.9061975394809278,5,0.01,64,True,0.0,0.30170000000007136,0.3620000000001955,0.0636000000000525,2.8127000000000013,0.4148999999999958,2.3978000000000055,0.3436000000001105,1.295500000000116,-0.002046105460147718
14,0,14,Building2_Example3,0.9021851230920482,0.903620669214866,0.903620669214866,5,0.01,64,True,0.0,0.29360000000000497,0.34469999999986456,0.05589999999999762,2.818200000000104,0.40989999999996307,2.408300000000141,0.3433999999999937,1.2932999999999417,-0.0014355461228177102
15,0,15,Building2_Example3,0.8991588490234798,0.9004748723790246,0.9004748723790246,5,0.01,64,True,0.0,0.2959000000000156,0.4621000000000208,0.2183000000000046,3.044599999999953,0.4047000000000356,2.6398999999999173,0.37770000000003634,1.330700000000018,-0.0013160233555448153
16,0,16,Building2_Example3,0.8967663729988826,0.9014844935179854,0.9014844935179854,5,0.01,64,True,0.0,0.3125999999999962,0.3618000000000787,0.07860000000015077,2.981699999999865,0.40679999999992944,2.5748999999999356,0.3378000000000547,1.3402000000000136,-0.004718120519102809
17,0,17,Building2_Example3,0.9042131974795263,0.9048713466651754,0.9048713466651754,5,0.01,64,True,0.0,0.30940000000012624,0.3525000000001999,0.06649999999996936,2.9700999999999755,0.4132000000001135,2.556899999999862,0.32949999999987156,1.3259999999999383,-0.000658149185649104
18,0,18,Building2_Example3,0.9019707156478752,0.9029013359405619,0.9029013359405619,5,0.01,64,True,0.0,0.3036999999999068,0.3588999999999398,0.06739999999982871,3.3407999999999216,0.4056999999999533,2.9350999999999683,0.35330000000000084,1.3258000000000436,-0.0009306202926866458
