,uid,sub_uid,building,pl_base_iou,pl_seg_gt_iou,pl_seg_infer_iou,computer,t_laplacian,t_bilateral,t_mesh,t_fastga_total,t_fastga_integrate,t_fastga_peak,t_polylidar_planepoly,t_polylidar_filter,t_classify_pointcloud,t_polylabel,iou_diff
141,76,1,Building9_Example2,0.9142480967433388,0.9269632104819642,0.9263744951167867,desktop,0.38989999999827774,0.45490000000114605,0.2785999999979083,4.1679999999999495,1.1822000000023536,2.985799999997596,1.1209000000000913,4.137100000001226,1.7868999999990365,0.11200000000144428,-0.012715113738625328
142,77,0,Building9_Example2,0.9320387924826907,0.9279754373035012,0.925574600031538,desktop,0.36110000000277864,0.4519000000016149,0.2439000000009628,4.017300000001001,1.052800000000076,2.9645000000009247,1.1299000000022374,5.964999999999776,1.7377000000031728,0.11650000000074101,0.004063355179189543
143,77,1,Building9_Example2,0.9266149448875645,0.9206439468179758,0.9260535110446402,desktop,0.34600000000040154,0.44130000000208724,0.15159999999880824,3.9562999999986914,1.0258000000007428,2.9304999999979486,1.0689999999975441,5.020200000000585,1.7232999999983178,0.12339999999966267,0.005970998069588673
144,78,0,Building9_Example2,0.8962859730297945,0.9107021506880941,0.9159098650073468,desktop,0.38259999999823435,0.4027999999998144,0.15870000000006712,3.9437000000042133,1.0600000000025034,2.88370000000171,0.9234000000013509,3.480599999999612,1.8033000000023947,0.08889999999794895,-0.014416177658299612
145,78,1,Building9_Example2,0.8908063520330016,0.9073676380832763,0.9075046444772181,desktop,0.3658000000008599,0.4103999999998109,0.1582999999989454,3.8637000000001365,1.0344000000017672,2.8292999999983692,0.928800000000507,3.565699999999339,1.7122000000000526,0.09769999999775791,-0.016561286050274626
146,79,0,Building9_Example2,0.9281970771094518,0.9155053413946935,0.9183528882449049,desktop,0.4114000000008389,0.813699999998363,0.2542999999981532,4.211200000000304,1.1785999999993635,3.03260000000094,1.1820000000000164,9.19850000000011,1.7592999999997971,0.12100000000003774,0.012691735714758234
147,79,1,Building9_Example2,0.9208362920361273,0.9172645454888,0.9182744938983153,desktop,0.3964000000031831,0.4612000000001615,0.1581000000001609,3.81569999999698,1.0164999999986435,2.7991999999983364,1.0650000000005377,8.841600000000227,1.73600000000107,0.09590000000159193,0.0035717465473272814
148,80,0,Building9_Example,0.8466779025461647,0.8824202312111196,0.8830896445371513,desktop,0.3756999999993127,0.4744999999992672,0.22350000000059822,4.213900000003434,1.240500000001532,2.9734000000019023,1.0803999999993152,9.054300000002513,1.760699999998394,0.17109999999931347,-0.03574232866495486
149,80,1,Building9_Example,0.8449900877704928,0.886608791995898,0.8863860490368026,desktop,0.38089999999968427,0.4229000000002259,0.27400000000099567,4.226500000001465,1.2465000000005944,2.980000000000871,1.182400000001138,8.649500000000643,1.8354999999985466,0.14739999999946463,-0.041618704225405256
150,81,0,Building9_Example,0.8366541401438633,0.9071904203564326,0.912126393688844,desktop,0.3550000000025477,0.4230999999990104,0.2440999999997473,4.097600000001478,1.1065999999999576,2.99100000000152,0.9598000000003992,3.2223000000008994,1.7168999999981338,0.08689999999944575,-0.0705362802125693
151,81,1,Building9_Example,0.8402679741962586,0.8994650689851336,0.9012007866937518,desktop,0.35210000000063246,0.4923000000012223,0.20280000000028053,4.334899999996367,1.3551999999990016,2.979699999997365,1.1413000000004558,3.717299999998147,1.7416000000025633,0.09999999999976694,-0.059197094788874915
152,82,0,Building9_Example,0.8665498531274611,0.9159130721547667,0.9207863544851357,desktop,0.35010000000212926,0.40519999999943934,0.21549999999948,4.428600000004224,1.4513000000029308,2.977300000001293,1.156099999999327,5.721599999997551,1.7770999999981996,0.10070000000084178,-0.04936321902730556
153,82,1,Building9_Example,0.8642002231685088,0.9086318259470733,0.9133792626966191,desktop,0.3851000000025806,0.45649999999852753,0.15330000000091104,4.42419999999899,1.14459999999994,3.27959999999905,1.1849999999995475,5.436800000001796,1.7314999999982206,0.13139999999722818,-0.044431602778564505
154,83,0,Building9_Example,0.8482457881959504,0.8968742973543913,0.8942641005484883,desktop,0.34199999999984243,0.41459999999915453,0.1546000000018921,3.860299999995931,1.0827999999989402,2.7774999999969907,1.0185000000006994,6.2347000000002595,1.7506000000011568,0.11290000000130362,-0.04862850915844086
155,83,1,Building9_Example,0.8548340414896359,0.901878841613697,0.9013725351345614,desktop,0.42840000000055056,0.5892000000002895,0.20749999999836177,4.818499999998949,1.2860000000003424,3.532499999998606,1.0601000000001193,6.040900000002125,1.7474000000028411,0.1294999999998936,-0.04704480012406109
156,84,0,Building9_Example,0.855515675799112,0.8934799233749612,0.893546529691661,desktop,0.38840000000206487,0.5072000000012622,0.34760000000133573,4.27890000000275,1.3982000000005712,2.8807000000021787,1.18789999999791,8.206299999997668,1.799899999998189,0.1181000000016752,-0.03796424757584915
157,84,1,Building9_Example,0.8621334073571318,0.9020167631244469,0.8973587188616641,desktop,0.41260000000065133,0.4060999999992987,0.14910000000156742,4.272600000000182,1.298900000001879,2.9736999999983027,1.139200000000784,7.553400000002597,1.74249999999887,0.1314000000007809,-0.039883355767315054
158,85,0,Building_2_02_Example,0.8346825753609219,0.838936557453259,0.8302090498110323,desktop,0.35390000000035116,0.44890000000208374,0.19729999999995584,3.752399999999767,0.9470000000000312,2.805399999999736,0.9553999999987184,4.540500000000947,1.6825000000011414,0.05990000000011264,-0.004253982092337072
159,85,1,Building_2_02_Example,0.8324042830156064,0.8418655699368864,0.8325133160526976,desktop,0.41319999999700485,0.42420000000120694,0.14360000000124273,4.140299999999542,0.918699999999717,3.2215999999998246,1.0403000000032137,4.549399999998371,1.659000000000077,0.05840000000034706,-0.00946128692128001
160,86,0,Building_2_02_Example,0.9328678200171626,0.9259739551179301,0.9368563665917757,desktop,0.3752000000005751,0.4139999999992483,0.25060000000109994,4.803700000000077,1.055799999999607,3.7479000000004703,1.0300999999977023,4.9829999999992935,1.7919999999982394,0.09260000000210766,0.006893864899232494
161,86,1,Building_2_02_Example,0.938629193263241,0.9293145787202676,0.9398164415191226,desktop,0.3714999999999691,0.5749000000001558,0.3111999999987347,4.1568999999981315,1.0638999999983412,3.0929999999997904,1.0100999999984595,5.103799999996994,1.7436999999986824,0.08899999999911756,0.009314614542973443
