uid,city,gps,pictures,surface details,quantity,Notes
561723,manhattan,"40.76252, -73.99105",561723_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/3c0ebe725809934a0237d405dba743a4/6a6ad171),"small-rooftop-entrance,skylight","1, 1",
716175,manhattan,"40.76248, -73.99097",716175_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/e5ddde5dc4c7ead8b436413cd914be2b/1010be7b),empty,1,
247507,manhattan,"40.76248, -73.99086",247507_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/1e5ffe5e80e0d34e8856b0be1564f908/966b1d84),empty,1,
377485,manhattan,"40.76242, -73.9908",377485_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/233cb8c1bf3923cf1bdc15fc50e5cbc1/2e0b451d),"small-rooftop-entrance,air-vents","1, 1",
383639,manhattan,"40.76238, -73.99073",383639_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/43707b05ad8728500a1c03f66877439c/b47d1d5a),"small-rooftop-entrance,air-vents","1, 1",
673178,manhattan,"40.76234, -73.99066",673178_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/4bb5f5abc46e92ad46611789ee6cb5f2/62bbd8e3),"skylight,small-rooftop-entrance","1, 4",
21038,manhattan,"40.76131, -73.98997",21038_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/c32603ec2126032049ddf0eb27497716/f233eecb),"small-rooftop-entrance,small-building,vegetation","1, 1, 1",
3266,manhattan,"40.76123, -73.98992",3266_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/61c191af43dca1139c4e8bc1f0bc6cf1/dbcfb257),"air-vents,skylight,small-building,small-rooftop-entrance","1, 1, 1, 4",
790316,manhattan,"40.76119, -73.98984",790316_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/09b749078792edbb701e9ccd5c286447/a980d42e),"skylight,small-building,small-rooftop-entrance","1, 1, 1",
285256,manhattan,"40.76116, -73.98977",285256_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/9c159f2c81df6a4d9749b7e8a6ef2274/33a6d2d4),small-rooftop-entrance,"1, 1",
525655,manhattan,"40.76113, -73.98969",525655_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/9fc2933c9af316d4548dcbc35bb086a6/2bfab8d1),"small-rooftop-entrance,skylight","1, 1",
523914,manhattan,"40.76111, -73.9896",523914_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/38d44ab7483072f5b0f92917f5b4cc3e/32f89948),"human-occupation,seating,multi-level,small-building","1, 2, 4, 1",
153308,manhattan,"40.76107, -73.98954",153308_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/b71e8cfb91a6dad8f7a3b0865fcdbbb1/9d557e81),"small-rooftop-entrance,skylight","1, 1",
638139,manhattan,"40.76103, -73.98946",638139_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/9c22498a64738f41424a9dce9e5f7696/79785140),"small-rooftop-entrance,skylight","1, 1",Solar Panels?
446052,manhattan,"40.76102, -73.98937",446052_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/1e20686cf7093d45537bd4ac3f36a917/92060039),"small-rooftop-entrance,skylight","1, 1",Solar Panels?
414449,manhattan,"40.76097, -73.98931",414449_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/d4fd892f96bebd7d11cf10e9e3f4ed37/010cbd8c),"small-building,small-rooftop-entrance,air-vents","4, 1, 1",
421243,manhattan,"40.76093, -73.98922",421243_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/7bb997650ebe78267fef8f969e2b8f27/f4703eb9),"small-building,small-rooftop-entrance,air-vents","4, 1, 1",
549548,manhattan,"40.76092, -73.98913",549548_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/157c15b95b73722f44b72fac157c8a38/796e6c87),"multi-level,small-rooftop-entrance,any-ducts","1, 1, 2",
439227,manhattan,"40.76058, -73.98838",439227_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/36045df34965ab1dcad322ead7929f1b/e1fcd28d),"chimney,small-rooftop-entrance","2, 1",
347398,manhattan,"40.76044, -73.98786",347398_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/494a807949188b82711fa1c92b34a8d7/43195ddc),air-vents,4,
310087,manhattan,"40.75186, -73.9854",310087_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/38a61a05dbfcf2f15942c938555687a1/09ddfca4),"small-building,enclosed-water-tower,small-rooftop-entrance","1, 1, 1",
440717,manhattan,"40.75181, -73.98531",440717_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/829307239e9046ab3b4f7645c9d87299/bd083e9c),"small-rooftop-entrance,ac-unit,air-vents","1, 1, 1",
552617,manhattan,"40.75179, -73.98524",552617_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/a01cc288800c7edad774d24426c72c39/fee47d3c),small-rooftop-entrance,1,
330453,manhattan,"40.75171, -73.98505",330453_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/bc15f481fbae2773f990b02dc478b613/8486743f),"water-tower,small-building,skylight","4, 3, 2",
193082,manhattan,"40.75159, -73.98478",193082_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/107402f28b9e5380810c3954d261444e/c10d3115),"water-tower,small-building,construction","1, 2, 2",
834786,manhattan,"40.75153, -73.98466",834786_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/6ca7388f11eb0591ae7ef5580a98b837/78623105),"small-rooftop-entrance,skylight","1, 1",
378364,manhattan,"40.7515, -73.98459",378364_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/83ef3164b20a66a2bf83b71e7196f317/ff067465),"small-rooftop-entrance,skylight","1, 1",
461736,manhattan,"40.75141, -73.98438",461736_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/10846743cb8930e098aac40c77ec7b80/c481e166),small-rooftop-entrance,1,
230772,manhattan,"40.75132, -73.98414",230772_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/436c25be4afb7d8d283cf6382fcff236/0f7a7cf5),"human-occupation,seating,multi-level","2, 1, 1",
1284,manhattan,"40.75128, -73.98402",1284_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/f29b40ae1e0377769cfda45cb37a6e4e/e6b79875),"small-building,water-tower,skylight","1, 3, 2, 3",
667160,manhattan,"40.75082, -73.98373",667160_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/6e6d3cfc613d6ece290c9d9b29dc4680/dc17bca2),"small-building,small-rooftop-entrance,skylight","1, 1, 1",
546407,manhattan,"40.75089, -73.98394",546407_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/441c12dd1a6ea65604042eb98a93abfb/cd39888e),"water-tower,small-building,skylight,any-ducts","1, 2, 4, 2",
